epoch,accuracy,loss,val_accuracy,val_loss
0,0.4295714199542999,1.7669000625610352,0.5721924901008606,1.2185163497924805
1,0.5414285659790039,1.3015483617782593,0.5942513346672058,1.1479852199554443
2,0.5808571577072144,1.1558374166488647,0.6036096215248108,1.101739764213562
3,0.6128571629524231,1.0649749040603638,0.6049465537071228,1.1083794832229614
4,0.6375714540481567,0.9996196031570435,0.625668466091156,1.0513406991958618
5,0.6574285626411438,0.9496961236000061,0.6263368725776672,1.0448335409164429
6,0.6671428680419922,0.9146245718002319,0.624331533908844,1.0361467599868774
7,0.6809999942779541,0.8846950531005859,0.6483957171440125,1.0277811288833618
8,0.6908571720123291,0.8326204419136047,0.6377005577087402,1.0364471673965454
9,0.7052857279777527,0.8017079830169678,0.6463903784751892,1.0021430253982544
0,0.6781428456306458,0.883980393409729,0.625,1.2919684648513794
1,0.7297142744064331,0.7311136722564697,0.6270053386688232,1.1889467239379883
2,0.7490000128746033,0.6787964105606079,0.6463903784751892,1.0928634405136108
3,0.7612857222557068,0.6390635371208191,0.6470588445663452,1.0543005466461182
4,0.7831428647041321,0.579865038394928,0.6624331474304199,1.0074127912521362
5,0.7941428422927856,0.5470459461212158,0.6584224700927734,0.9880990386009216
6,0.8108571171760559,0.509438693523407,0.6691176295280457,0.9629791378974915
7,0.8174285888671875,0.4823364019393921,0.6804812550544739,0.9342540502548218
8,0.8288571238517761,0.46301043033599854,0.6838235259056091,0.9355210065841675
9,0.8387143015861511,0.4279995858669281,0.6791443824768066,0.9347169995307922
10,0.8465714454650879,0.4002429246902466,0.6864973306655884,0.9269363284111023
11,0.8575714230537415,0.38574716448783875,0.6864973306655884,0.9336534142494202
12,0.8658571243286133,0.3627549409866333,0.6798128485679626,0.9623761773109436
13,0.8694285750389099,0.3513111472129822,0.6871657967567444,0.9695122838020325
14,0.8792856931686401,0.31830063462257385,0.6945187449455261,0.9716163873672485
15,0.8851428627967834,0.29603445529937744,0.6938502788543701,0.9628241062164307
16,0.8871428370475769,0.29587996006011963,0.6911764740943909,0.9724485874176025
17,0.8855714201927185,0.28683245182037354,0.6931818127632141,0.9807016253471375
18,0.8967142701148987,0.26970967650413513,0.6911764740943909,0.9855075478553772
19,0.8931428790092468,0.2690593898296356,0.6891711354255676,0.9869853854179382
20,0.8987143039703369,0.2566527724266052,0.6885026693344116,0.9744839668273926
21,0.904285728931427,0.2511838972568512,0.6918449401855469,0.9821596741676331
22,0.9052857160568237,0.24244555830955505,0.6931818127632141,0.9867356419563293
23,0.9041428565979004,0.24612388014793396,0.6971924901008606,0.9793199896812439
24,0.9082857370376587,0.2427506297826767,0.6938502788543701,0.9822289943695068
25,0.9037142992019653,0.24545246362686157,0.6958556175231934,0.977850615978241
26,0.9097142815589905,0.2349800318479538,0.6911764740943909,0.9797860980033875
27,0.913428544998169,0.2264239490032196,0.6911764740943909,0.9798769354820251
28,0.9081428647041321,0.23084717988967896,0.6931818127632141,0.9819368720054626
29,0.9068571329116821,0.23702941834926605,0.6945187449455261,0.9862275123596191
30,0.9101428389549255,0.23303169012069702,0.6925133466720581,0.9884030222892761
31,0.9047142863273621,0.23366780579090118,0.6938502788543701,0.9901633262634277
32,0.9081428647041321,0.2370661050081253,0.6945187449455261,0.989377498626709
33,0.906000018119812,0.23760545253753662,0.6938502788543701,0.9879541993141174
34,0.9081428647041321,0.23054952919483185,0.6931818127632141,0.9896467328071594
35,0.9148571491241455,0.22647255659103394,0.6925133466720581,0.9909698963165283
36,0.9095714092254639,0.23124857246875763,0.6951871514320374,0.9913471937179565
37,0.9095714092254639,0.22582709789276123,0.6938502788543701,0.988185465335846
38,0.9079999923706055,0.224808931350708,0.6931818127632141,0.9886332750320435
39,0.9135714173316956,0.22434158623218536,0.6931818127632141,0.9911321401596069
