epoch,accuracy,loss,val_accuracy,val_loss
0,0.44614285230636597,1.5759271383285522,0.5815507769584656,1.184464454650879
1,0.5618571639060974,1.2144570350646973,0.614973247051239,1.0722038745880127
2,0.6078571677207947,1.0897966623306274,0.6216577291488647,1.038283348083496
3,0.6292856931686401,1.0104352235794067,0.625668466091156,1.0405619144439697
4,0.645714282989502,0.9668834209442139,0.6370320916175842,1.027205228805542
5,0.6662856936454773,0.9134420156478882,0.6383689641952515,0.9966080784797668
6,0.681857168674469,0.8822788000106812,0.6657754182815552,0.9394538402557373
7,0.6841428279876709,0.8490663766860962,0.6517379879951477,0.9686481952667236
8,0.7061428427696228,0.7940173745155334,0.6677807569503784,0.9506407380104065
9,0.7132856845855713,0.7743043899536133,0.6477272510528564,0.9829840064048767
0,0.7315714359283447,0.7292418479919434,0.6657754182815552,0.9408066868782043
1,0.7571428418159485,0.6720765829086304,0.6758021116256714,0.9343691468238831
2,0.7628571391105652,0.6440326571464539,0.6751337051391602,0.9165008068084717
3,0.7668571472167969,0.6211572885513306,0.6737967729568481,0.9247239232063293
4,0.7835714221000671,0.5875411629676819,0.6764705777168274,0.9135474562644958
5,0.7868571281433105,0.5659235715866089,0.6764705777168274,0.9243011474609375
6,0.7917143106460571,0.5569747686386108,0.6891711354255676,0.9044304490089417
7,0.803857147693634,0.522721529006958,0.6851603984832764,0.9126157164573669
8,0.8122857213020325,0.5105519890785217,0.6798128485679626,0.9146326184272766
9,0.8187142610549927,0.4841850996017456,0.6991978883743286,0.8942439556121826
10,0.8199999928474426,0.48455408215522766,0.6911764740943909,0.900062084197998
11,0.8282856941223145,0.45948129892349243,0.6958556175231934,0.8867864608764648
12,0.8311428427696228,0.44174686074256897,0.6971924901008606,0.9093835949897766
13,0.8327142596244812,0.4282427728176117,0.6878342032432556,0.9443001747131348
14,0.8395714163780212,0.4166101813316345,0.6951871514320374,0.9233311414718628
15,0.8452857136726379,0.39894774556159973,0.6951871514320374,0.9330198168754578
16,0.8574285507202148,0.3751070499420166,0.7052139043807983,0.9255613684654236
17,0.8595714569091797,0.36402469873428345,0.6998662948608398,0.9338334798812866
18,0.8684285879135132,0.3470947742462158,0.7092245817184448,0.9184565544128418
19,0.8665714263916016,0.34494197368621826,0.7072192430496216,0.9181941151618958
20,0.8747143149375916,0.3327087163925171,0.7105615139007568,0.9168698191642761
21,0.8778571486473083,0.32831576466560364,0.7072192430496216,0.9134068489074707
22,0.8782857060432434,0.31316763162612915,0.7058823704719543,0.9198931455612183
23,0.8824285864830017,0.3125022053718567,0.7078877091407776,0.9282470345497131
24,0.880142867565155,0.3177252411842346,0.7085561752319336,0.9196640253067017
25,0.881428599357605,0.30716603994369507,0.7092245817184448,0.9207308292388916
26,0.8805714249610901,0.3094905614852905,0.7092245817184448,0.9242081046104431
27,0.8851428627967834,0.29122495651245117,0.7098930478096008,0.9366931319236755
28,0.8807142972946167,0.3023776710033417,0.7105615139007568,0.9337140917778015
29,0.8861428499221802,0.29927006363868713,0.7112299203872681,0.9357859492301941
30,0.8861428499221802,0.29564782977104187,0.7105615139007568,0.9352915287017822
31,0.8802857398986816,0.29671141505241394,0.7118983864784241,0.9337136149406433
32,0.8859999775886536,0.2991408705711365,0.7118983864784241,0.9331765174865723
33,0.8868571519851685,0.2957649528980255,0.7118983864784241,0.9335929155349731
34,0.8884285688400269,0.297403484582901,0.7098930478096008,0.9346410632133484
35,0.8880000114440918,0.2967351973056793,0.7118983864784241,0.9357438683509827
36,0.8888571262359619,0.2900528609752655,0.7125668525695801,0.9356023669242859
37,0.8838571310043335,0.292900949716568,0.7105615139007568,0.9368850588798523
38,0.8868571519851685,0.29261037707328796,0.7105615139007568,0.9340011477470398
39,0.8891428709030151,0.29241320490837097,0.7092245817184448,0.9340723156929016
